Plate,Group,Treatment,Day,Location,Well ID,Sample ID,Standard,sCD40L,hEGF,hEotaxin,hFGF-2,hFLT-3L,hFractalkine,hG-CSF,hGM-CSF,hGROa,hIFNa2,hIFNy,hIL-1a,hIL-1b,hIL-1RA,hIL-2,hIL-3,hIL-4,hIL-5,hIL-6,hIL-7,hIL-8,hIL-9,hIL-10,hIL-12(p40),hIL-12(p70),hIL-13,hIL-15,hIL-17A,hIL-17E/IL-25,hIL-17F,hIL-18,hIL-22,hIL-27,hIP-10,hMCP-1,hMCP-3,hM-CSF,hMDC,hMIG/CXCL9,hMIP-1a,hMIP-1b,hPDGF-AA,hPDGF-AB/BB,hRANTES,hTGFa,hTNFa,hTNFb,hVEGF-A
Plate 1,mgh1_dual_17,Dual,17,L16,176,,Standard Curve Group 1,130.7608,15.09401,4.896798,321.304,2.346159,-,14.76646,59.5797,-,6.032584,3.534136,2.902191,3.823339,-,1.717904,1.634609,2.190798,-,1.379581,2.208554,0.252287,-,-,-,-,-,16.72108,12.07316,150.3157,18.28936,-,52.73392,289.5355,14.43493,27.16315,31.22632,-,0.845389,-,-,-,10.56155,836.2367,1.161956,3.101575,4.898901,7.795374,21.34358
Plate 1,mgh1_dual_17,Dual,17,L17,177,,Standard Curve Group 1,145.1465,16.10695,7.289095,323.7674,1.942474,58.38229,19.2924,148.3967,1.279241,6.914057,3.603224,2.310372,4.815439,3.439257,1.677965,1.993803,2.139451,-,1.381506,9.581168,0.238479,-,5.760202,-,-,-,18.54677,10.82251,170.5523,-,-,54.06624,345.1114,13.94517,27.54322,35.96751,-,1.013143,-,-,-,12.18852,904.2758,1.343632,3.447571,6.033699,10.00221,17.03314
Plate 1,mgh1_dual_17,Dual,17,L18,178,,Standard Curve Group 1,-,17.08737,9.722053,342.0793,2.038033,-,18.06959,152.172,-,10.01238,3.948225,3.009812,4.482805,-,2.036248,1.510671,2.349434,0.41933,1.075624,6.524451,0.224045,-,4.835375,-,-,-,19.93761,12.06059,157.5185,-,-,58.27783,364.0467,14.01232,26.76766,38.01263,-,0.744278,-,-,-,8.563032,896.8986,1.178883,3.223408,4.727831,11.11288,16.05475
Plate 1,mgh1_dual_20,Dual,20,L19,179,,Standard Curve Group 1,140.2989,16.71442,4.814466,312.8642,1.680878,-,18.4661,143.2887,0.84775,4.66836,4.750686,3.299364,4.740849,-,1.811777,2.112963,2.053796,-,1.123711,9.152375,-,-,-,-,-,-,18.8434,10.46901,176.8884,-,-,56.83477,351.2448,13.42242,28.18218,43.34971,-,0.779305,-,-,-,13.0084,885.9161,1.005472,3.100334,4.599948,7.838176,13.7059
Plate 1,mgh1_dual_20,Dual,20,L20,180,,Standard Curve Group 1,-,18.6756,4.390668,328.4992,2.316997,-,19.86109,206.8278,0.983826,6.346509,4.401553,3.088411,4.835452,-,2.164598,2.506962,2.361187,0.44461,1.287646,9.050941,0.162389,-,6.875588,-,-,-,18.37953,12.0236,156.2399,-,-,53.37756,431.7297,15.44804,27.99646,36.34606,-,1.07682,-,-,-,11.88911,963.3039,1.201899,3.051975,4.4044,9.648685,15.29718
Plate 1,mgh1_dual_20,Dual,20,L21,181,,Standard Curve Group 1,118.6734,20.40027,3.42031,354.8503,2.374687,-,21.81554,193.6068,1.232089,8.739787,4.121528,2.510425,4.646511,3.539063,2.41999,2.817659,1.926445,-,1.411127,18.56046,0.164629,-,4.935423,-,-,-,18.97367,13.38548,146.0521,-,-,69.90526,419.3389,16.38783,29.49769,44.07757,-,1.142129,-,-,-,13.55441,982.2508,1.219184,3.476316,5.269016,11.2314,17.31464
Plate 1,mgh1_dual_20,Dual,20,L22,182,,Standard Curve Group 1,180.3475,18.53384,6.429641,325.4279,2.528487,51.37638,22.95249,148.3068,1.895783,6.697651,4.131827,3.216868,6.734551,2.741697,2.917041,2.434413,2.612328,0.425312,1.608999,8.930015,0.27159,-,6.72259,-,12.71089,-,19.03898,12.81989,190.1772,-,-,70.31821,472.2284,17.76651,28.62143,41.61615,-,1.164338,-,-,-,12.01995,1007.512,1.291682,3.435609,3.553743,11.66714,17.87675
Plate 1,mgh1_dual_20,Dual,20,L23,183,,Standard Curve Group 1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Plate 1,mgh1_dual_20,Dual,20,L24,184,,Standard Curve Group 1,-,-,-,219.9765,1.000246,-,-,-,-,1.596461,-,2.089173,-,-,-,-,-,-,-,-,0.157668,-,-,-,-,-,13.5929,-,-,-,-,-,-,-,23.34489,-,-,-,-,-,-,7.265494,-,-,-,4.078214,-,-
Plate 1,mgh1_dual_22,Dual,22,M13,185,,Standard Curve Group 1,114.7226,16.08925,2.186008,330.8152,2.316846,-,15.11047,78.51219,0.955875,7.240399,4.745486,3.766969,3.608191,-,1.651819,2.264524,2.200055,-,1.410732,4.109097,0.179373,-,4.987517,-,-,-,18.45099,10.30475,151.3617,-,-,53.55562,414.3335,11.89828,25.7632,30.63935,-,0.714068,-,-,-,11.61439,856.879,0.988754,3.17442,6.22366,9.271942,19.08819
